Data;IPCA;IPCA-E;INPC;IGPM;INCC;TR;ENCOGE;SELIC
01/03/1997;5,308825767;5,314663091;5,442130182;8,586197068;7,952689618;1,755184819;5,4439113;4,6365
01/04/1997;5,281888137;5,283490497;5,405373641;8,488578417;7,895055711;1,744196382;5,4071427;4,6201
01/05/1997;5,235812983;5,24780542;5,373134832;8,431245944;7,876938752;1,733448998;5,3748934;4,6035
01/06/1997;5,214433804;5,221696935;5,367230878;8,413577432;7,80977469;1,722425475;5,3689875;4,5877
01/07/1997;5,186427098;5,193134694;5,348511089;8,351774302;7,724037869;1,711302012;5,3502616;4,5716
01/08/1997;5,175042006;5,177085729;5,338901067;8,344264464;7,684845159;1,700081475;5,3406484;4,5556
01/09/1997;5,176077221;5,168299619;5,340503218;8,336761379;7,595221545;1,689438015;5,3422511;4,5397
01/10/1997;5,172973437;5,170885062;5,33516805;8,296936085;7,574769667;1,678527586;5,3369142;4,5238
01/11/1997;5,1611029;5,157990086;5,319740802;8,266350588;7,56342453;1,667521941;5,3214819;4,5071
01/12/1997;5,152343916;5,154382019;5,311773142;8,213782381;7,522801402;1,642393323;5,3135116;4,4767
01/01/1998;5,130283696;5,1292487;5,281667637;8,145361346;7,505538663;1,621156177;5,2833963;4,447
01/02/1998;5,094115476;5,101699523;5,237151846;8,067909415;7,480851852;1,602724841;5,2388659;4,4203
01/03/1998;5,070789843;5,069256283;5,209023121;8,053413271;7,445115299;1,595544889;5,210728;4,399
01/04/1998;5,053607577;5,049562987;5,183623367;8,038140804;7,41028695;1,581313072;5,1853199;4,377
01/05/1998;5,041507958;5,038478335;5,16040156;8,027704788;7,447524573;1,573915668;5,1620905;4,3599
01/06/1998;5,016425829;5,017904925;5,123512271;8,016481713;7,375247151;1,566864777;5,1251891;4,3436
01/07/1998;5,015422744;5,000901858;5,115838513;7,986134402;7,346595429;1,559224576;5,1175129;4,3276
01/08/1998;5,021448482;5,006408908;5,130203082;7,99973395;7,321701643;1,55069575;5,1318821;4,3106
01/09/1998;5,047189147;5,025001413;5,15546486;8,012554037;7,305629259;1,544979326;5,1571522;4,2958
01/10/1998;5,058317445;5,047209134;5,171496499;8,018969212;7,304898769;1,538058065;5,1731891;4,2709
01/11/1998;5,057305984;5,046704463;5,165814104;8,012559165;7,304168352;1,524490103;5,1675048;4,2415
01/12/1998;5,063382043;5,052261951;5,175129336;8,038281666;7,307822263;1,515247096;5,1768231;4,2152
01/01/1999;5,046727841;5,045702538;5,153484701;8,002271445;7,304170178;1,504116633;5,1551714;4,1912
01/02/1999;5,011646316;5,011623498;5,120203379;7,935612301;7,264216985;1,496335687;5,1218792;4,1694
01/03/1999;4,959570823;4,979753078;5,054993957;7,659118136;7,193718543;1,484018335;5,0566484;4,1456
01/04/1999;4,905609122;4,919732344;4,991107777;7,448330387;7,154369511;1,467001122;4,9927413;4,1123
01/05/1999;4,878290695;4,881655431;4,967759308;7,395820064;7,117359243;1,458106671;4,9693852;4,0888
01/06/1999;4,863699596;4,856885316;4,96527667;7,417330322;7,056671865;1,44969842;4,9669017;4,0686
01/07/1999;4,854476091;4,857856888;4,961803408;7,390723717;7,027857648;1,445218244;4,9634273;4,0519
01/08/1999;4,802132843;4,819780621;4,925355775;7,277916018;6,995677532;1,44103923;4,9269678;4,0353
01/09/1999;4,775390656;4,781054083;4,898414495;7,166124477;6,947738139;1,4368723;4,9000177;4,0196
01/10/1999;4,760632694;4,758688248;4,879384894;7,063700815;6,888497064;1,433003192;4,8809819;4,0047
01/11/1999;4,70464739;4,720920881;4,832988207;6,945625187;6,819618913;1,429714847;4,83457;3,9909
01/12/1999;4,660373839;4,674641926;4,787981184;6,783499547;6,758120021;1,426861125;4,7895482;3,977
01/01/2000;4,632578369;4,632486301;4,752810387;6,662901039;6,688559007;1,422593345;4,7543659;3,961
01/02/2000;4,604033362;4,602569598;4,723994024;6,581293005;6,617749092;1,41961216;4,7255401;3,9464
01/03/2000;4,598055889;4,586973887;4,721633207;6,558338819;6,567181792;1,416354544;4,7231785;3,9319
01/04/2000;4,587962372;4,582849323;4,715503053;6,548516045;6,530610374;1,413245404;4,7170464;3,9174
01/05/2000;4,568773523;4,561410692;4,711262917;6,533489021;6,491660411;1,411410571;4,7128049;3,9044
01/06/2000;4,568316691;4,557309114;4,713619726;6,513297797;6,405190342;1,407890843;4,7151624;3,8895
01/07/2000;4,557833674;4,553666181;4,699521163;6,458401386;6,358771311;1,404940468;4,7010593;3,8756
01/08/2000;4,485615268;4,518422486;4,635093365;6,358571808;6,339752055;1,402836214;4,6366104;3,8625
